date,camera,next_day_avg_people,predicted_next_day_avg_people,avg_error,next_day_peak_people,predicted_next_day_peak_people,peak_error
2026-03-21,cam1,3.1944444444444446,2.1,-1.1,4.0,4.0,0.0
2026-03-22,cam1,1.4104627766599598,0.9,-0.5,4.0,1.1,-2.9
2026-03-23,cam1,2.2109654350417163,2.2,-0.0,4.0,4.0,0.0
2026-03-24,cam1,0.9509521061742644,1.0,0.0,2.0,2.0,0.0
2026-04-01,cam1,0.9879154078549848,1.0,0.0,2.0,2.0,0.0
2026-04-04,cam1,1.904433497536946,1.1,-0.8,5.0,4.0,-1.0
2026-04-08,cam1,0.967479674796748,1.0,0.0,2.0,2.0,0.0
2026-05-06,cam1,2.083116883116883,2.1,0.0,4.0,4.0,0.0
2026-05-17,cam1,1.0,0.8,-0.2,1.0,1.1,0.1
2026-06-12,cam1,0.7213316892725031,0.7,-0.0,2.0,2.0,0.0
2026-06-13,cam1,0.8461538461538461,0.8,-0.0,1.0,1.0,0.0
2026-06-18,cam1,1.011317000373088,1.0,-0.0,2.0,2.0,0.0
2026-07-18,cam1,1.2721354166666667,1.3,0.0,3.0,3.0,0.0
2026-08-02,cam1,1.0445780115201604,1.0,-0.0,2.0,2.0,0.0
2026-03-21,cam2,1.158139534883721,1.2,0.0,2.0,2.0,0.0
2026-03-22,cam2,0.2402234636871508,0.2,-0.0,1.0,1.0,0.0
2026-03-23,cam2,0.983739837398374,1.0,0.0,3.0,3.0,0.0
2026-03-24,cam2,0.2782608695652174,0.3,0.0,1.0,1.0,0.0
